0.8,0.6,0.4,1,0
0.825,0.8,0.2,0.85,0.15
0.6,1,0,0.2,0.8
0.8,0.6,0.4,1,0
0.65,0.8,0.2,0.5,0.5
0.5,1,0,0,1
0.9,0.8,0.2,1,0
0.8,0.6,0.4,1,0
0.65,1,0,0.3,0.7
0.8,0.6,0.4,1,0
0.75,0.5,0.5,1,0
0.75,0.5,0.5,1,0
0.8,0.6,0.4,1,0
0.5,0,1,1,0
0.8,0.6,0.4,1,0
0.825,0.8,0.2,0.85,0.15
0.8,0.6,0.4,1,0
0.8,0.6,0.4,1,0
0.7,0.4,0.6,1,0
0.7,0.4,0.6,1,0
0.8,0.6,0.4,1,0
0.8,0.6,0.4,1,0
0.7,0.8,0.2,0.6,0.4
0.8,0.6,0.4,1,0
0.7,0.4,0.6,1,0
0.8,0.6,0.4,1,0
0.8,0.6,0.4,1,0
0.65,0.3,0.7,1,0
0.9,0.8,0.2,1,0
0.65,0.3,0.7,1,0
0.575,0.8,0.2,0.35,0.65
0.8,0.6,0.4,1,0
0.65,0.3,0.7,1,0
0.725,0.6,0.4,0.85,0.15
0.725,0.8,0.2,0.65,0.35
0.8,0.6,0.4,1,0
0.8,0.6,0.4,1,0
0.7,0.8,0.2,0.6,0.4
0.9,0.8,0.2,1,0
0.725,0.8,0.2,0.65,0.35
0.75,0.5,0.5,1,0
0.8,0.8,0.2,0.8,0.2
0.75,0.5,0.5,1,0
0.9,0.8,0.2,1,0
0.725,0.6,0.4,0.85,0.15
0.7,0.4,0.6,1,0
0.8,0.6,0.4,1,0
0.8,0.8,0.2,0.8,0.2
0.65,0.3,0.7,1,0
0.75,0.5,0.5,1,0
0.9,0.8,0.2,1,0
0.7,0.4,0.6,1,0
0.8,0.6,0.4,1,0
0.65,0.3,0.7,1,0
0.8,0.6,0.4,1,0
0.8,0.6,0.4,1,0
0.625,0.6,0.4,0.65,0.35
0.8,0.6,0.4,1,0
0.9,0.8,0.2,1,0
0.65,0.3,0.7,1,0
0.6,0.8,0.2,0.4,0.6
0.8,0.6,0.4,1,0
0.55,0.9,0.1,0.2,0.8
0.75,0.5,0.5,1,0
0.65,0.3,0.7,1,0
0.8,0.6,0.4,1,0
0.75,0.5,0.5,1,0
0.7,0.6,0.4,0.8,0.2
0.5,0,1,1,0
0.9,0.8,0.2,1,0
0.9,0.8,0.2,1,0
0.8,0.6,0.4,1,0
0.525,0.6,0.4,0.45,0.55
0.8,0.6,0.4,1,0
0.55,0.1,0.9,1,0
0.6,1,0,0.2,0.8
0.8,0.6,0.4,1,0
0.75,0.5,0.5,1,0
0.5,0,1,1,0
0.8,0.6,0.4,1,0
0.75,0.6,0.4,0.9,0.1
0.8,0.6,0.4,1,0
0.75,0.5,0.5,1,0
0.65,0.3,0.7,1,0
0.825,0.8,0.2,0.85,0.15
0.55,0.1,0.9,1,0
0.65,0.3,0.7,1,0
0.8,0.6,0.4,1,0
0.75,0.5,0.5,1,0
0.7,0.4,0.6,1,0
0.75,0.5,0.5,1,0
0.65,0.3,0.7,1,0
0.65,0.8,0.2,0.5,0.5
0.9,0.8,0.2,1,0
0.65,0.3,0.7,1,0
0.725,0.8,0.2,0.65,0.35
0.9,0.8,0.2,1,0
0.8,0.6,0.4,1,0
0.8,0.6,0.4,1,0
0.8,0.6,0.4,1,0
